timestamp,exercise_type,shoulder_height_diff,hip_height_diff,knee_height_diff,ankle_height_diff,elbow_height_diff,wrist_height_diff,ear_height_diff,squat_angle,plank_angle,left_shoulder_x,left_shoulder_y,right_shoulder_y,right_shoulder_x,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_y,right_knee_x,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,""
1761241909819,SQUAT,36.259308,15.590118,31.72699,11.594971,58.771027,20.668915,10.937408,NaN,NaN,320.0389,348.6974,312.43808,242.37685,265.06696,427.5448,219.1818,411.95468,280.47876,487.10626,455.37927,165.03125,261.84253,558.7341,192.54596,547.1391,312.94675,412.41806,192.55815,353.64703,283.81345,354.29593,256.81024,333.627,312.42395,294.29337,283.80682,283.35596,
1761241909900,SQUAT,39.533386,13.770264,33.300537,11.581177,61.331635,21.346252,11.38443,NaN,NaN,319.7302,362.69263,323.15924,240.61111,265.22357,432.166,218.2855,418.39572,280.5404,490.53375,457.23322,165.25586,262.79288,558.88776,193.01611,547.3066,310.04266,432.00314,188.57106,370.6715,282.93582,373.89267,253.79428,352.54642,312.0104,307.5668,282.41196,296.18237,
1761241909989,SQUAT,37.132324,18.607697,32.460907,9.929504,64.03302,22.447113,12.630768,NaN,NaN,316.63696,372.81253,335.6802,240.53647,262.7293,445.61398,217.16663,427.0063,281.76282,495.0581,462.5972,164.79848,262.82397,555.16736,193.33885,545.23785,306.62097,444.66217,187.2894,380.62915,281.26184,388.27448,252.10945,365.82736,310.26483,322.68448,280.48685,310.0537,
1761241910064,SQUAT,38.80362,19.317627,36.265076,12.644287,62.565155,21.370209,14.855255,NaN,NaN,314.3426,388.55963,349.756,238.33162,259.977,455.61383,216.01483,436.2962,287.06378,495.51538,459.2503,161.25262,262.27435,555.69995,192.54582,543.05566,301.54816,456.49765,186.74211,393.9325,281.40128,401.63785,253.00287,380.26764,308.6003,338.82068,277.81335,323.96542,
1761241910137,SQUAT,39.75421,21.13733,41.921906,16.108826,59.254486,23.17926,14.928772,NaN,NaN,312.5601,401.6899,361.9357,237.53511,256.64224,466.1516,214.48935,445.01428,289.2385,504.39102,462.46912,161.17012,260.9766,559.53174,192.69995,543.4229,302.91415,470.91245,184.82385,411.65796,281.23026,415.02466,252.16086,391.8454,307.45303,351.50864,275.3772,336.57986,
1761241910209,SQUAT,40.287415,20.78888,44.560333,17.257812,57.778534,18.814148,14.663391,NaN,NaN,310.7373,412.44324,372.15582,237.08836,257.63428,475.5586,214.17003,454.7697,290.95892,506.9482,462.38788,160.24763,260.47614,560.84357,193.66911,543.58575,304.4454,481.9968,181.30052,424.21826,279.7602,422.21423,247.14134,403.4001,306.50098,360.53552,273.57315,345.87213,
1761241910276,SQUAT,41.75299,19.593475,46.457977,13.504456,61.86139,17.631287,15.833313,NaN,NaN,310.37207,419.9112,378.1582,235.87762,254.94464,482.40524,212.06046,462.81177,290.15457,508.77628,462.3183,163.55833,261.47852,557.2398,193.96812,543.73535,300.3664,487.26752,183.91322,425.40613,276.59067,428.2245,247.24423,410.5932,304.13113,368.87183,270.01288,353.0385,
1761241910345,SQUAT,45.040222,21.990997,44.06009,14.1345825,65.59628,21.368317,16.408539,NaN,NaN,310.8775,428.04596,383.00574,233.1872,260.49075,487.57205,213.99968,465.58105,279.98944,509.73022,465.67014,167.09302,261.0232,558.174,194.00214,544.0394,298.2133,495.5999,183.93652,430.00363,273.33875,437.83096,244.46248,416.46265,303.89673,373.6395,267.16486,357.23096,
1761241910419,SQUAT,42.540894,19.765625,48.29608,15.281372,59.643585,19.205658,15.446167,NaN,NaN,308.18246,428.1253,385.5844,230.54773,258.42023,489.47388,213.90147,469.70825,280.63672,512.44165,464.14557,171.6493,260.59662,558.19775,194.78844,542.9164,295.6803,494.5116,181.58702,434.868,271.47845,440.7758,243.38693,421.57013,299.98346,375.21045,264.25745,359.76428,
1761241910493,SQUAT,41.075165,19.14917,46.80945,16.486755,59.96469,18.967285,14.244568,NaN,NaN,306.59305,426.80237,385.7272,228.3461,256.5841,492.05096,212.54688,472.9018,277.8557,506.85825,460.0488,169.9088,260.89017,559.85944,192.7993,543.3727,294.9585,497.02124,179.51958,437.05655,266.395,441.60535,237.96625,422.63806,296.9082,374.83887,262.47208,360.5943,
1761241910557,SQUAT,40.1156,19.56189,41.3674,15.908508,56.870758,19.955414,12.015503,NaN,NaN,305.1429,425.9375,385.8219,224.60487,255.38763,491.74072,208.82486,472.17883,276.94196,508.1936,466.8262,167.55235,260.1876,560.8505,193.6455,544.942,292.8092,496.52698,177.36789,439.65622,263.76868,441.91095,233.59718,421.95554,295.68253,373.69434,259.4847,361.67883,
1761241910629,SQUAT,39.536316,19.701141,42.679474,18.782227,58.200745,18.717224,12.142914,NaN,NaN,304.51395,423.2138,383.6775,226.4313,253.60548,489.68707,207.06812,469.98593,279.2717,508.26263,465.58316,166.04704,261.62097,561.3696,191.34918,542.5874,290.96033,492.97736,172.43167,434.7766,260.3467,435.5754,234.16896,416.8582,293.12857,371.5332,257.96317,359.3903,
1761241910709,SQUAT,37.119812,18.566162,41.990234,19.410828,57.18167,19.7016,10.216553,NaN,NaN,302.67838,417.12283,380.00302,223.20055,251.24643,484.19315,204.19437,465.62698,276.89557,509.14014,467.1499,166.61682,259.44766,563.9408,192.85892,544.52997,287.59378,484.5065,173.63914,427.32483,259.01132,426.74634,233.17229,407.04474,293.2171,365.7422,256.77243,355.52563,
1761241910779,SQUAT,33.979095,16.350403,35.358276,18.489746,53.19806,20.926117,12.257233,NaN,NaN,299.82138,405.76596,371.78687,221.49384,250.63889,477.211,202.96121,460.8606,274.06952,499.09824,463.73996,160.36848,261.9381,560.37744,190.68297,541.8877,285.26282,471.44434,177.26405,418.24628,259.39886,416.16534,232.21265,395.23923,292.5384,354.88297,257.06335,342.62573,
1761241910834,SQUAT,34.94275,17.68158,21.70993,15.524536,51.40338,20.242554,15.111603,NaN,NaN,302.92355,394.2265,359.28375,225.12804,254.29762,462.44266,208.00514,444.76108,268.92896,479.68106,457.97113,159.20938,262.34647,556.23083,187.12494,540.7063,287.1952,461.9088,175.16289,410.50543,258.85672,403.5979,230.12312,383.35535,292.36215,343.51007,258.4926,328.39847,
1761241910907,SQUAT,32.425934,16.515808,29.941742,19.683533,48.928223,17.037323,14.051056,NaN,NaN,302.41556,381.58533,349.1594,221.53847,255.23225,451.59457,209.26004,435.07877,269.78925,489.43573,459.494,161.63962,261.7423,560.56055,189.5549,540.877,291.65057,450.14966,172.08621,401.22144,257.0618,394.35593,221.55869,377.3186,292.3813,330.05646,260.64645,316.0054,
1761241910988,SQUAT,31.578766,12.467743,18.072754,17.551636,66.05713,21.449799,11.710022,NaN,NaN,303.33917,369.7613,338.18253,222.34526,254.27138,439.8698,208.18375,427.40207,267.3061,475.24225,457.1695,162.38382,262.98575,556.94904,189.6269,539.3974,294.8317,439.73206,164.49445,373.67493,253.17,385.9225,211.78897,364.4727,293.9506,315.15714,263.00134,303.4471,
1761241911058,SQUAT,31.452362,14.33725,19.157135,13.727295,66.01666,32.37088,8.052612,NaN,NaN,304.3071,354.86224,323.40988,227.42885,253.30843,427.15466,209.90016,412.8174,265.48834,478.86044,459.7033,163.0957,262.04517,558.3668,191.98367,544.6395,299.54016,419.45828,164.89569,353.44162,256.23682,374.1345,210.27199,341.7636,295.39737,297.52252,265.56708,289.4699,
1761241911116,SQUAT,31.73935,13.742126,15.999756,12.486938,68.7453,30.100891,8.05542,NaN,NaN,306.72803,341.75235,310.013,226.89188,256.63974,416.06702,211.77946,402.3249,264.88855,476.2514,460.25165,169.93994,263.92096,560.3703,192.68495,547.88336,299.53867,413.34125,167.4766,344.59595,253.8891,360.74353,210.3664,330.64264,297.26584,282.57654,266.77744,274.52112,
1761241911180,SQUAT,30.213287,10.977295,11.457245,10.497131,65.94766,32.673126,10.486389,NaN,NaN,309.29376,324.10516,293.89188,228.53012,257.78592,406.1466,210.8602,395.1693,263.10043,470.7605,459.30325,171.05469,262.73962,558.2055,194.91756,547.7084,298.86926,400.53113,166.28221,334.58347,258.1751,353.37598,209.2171,320.70285,300.60306,270.3427,271.84616,259.85632,
1761241911253,SQUAT,33.538513,10.946686,2.446167,10.053223,63.567444,31.147217,9.352112,NaN,NaN,310.04083,315.7646,282.22607,228.69263,260.1017,397.67697,212.45824,386.7303,264.58932,457.82648,455.3803,173.10994,263.0229,557.4192,195.8156,547.36597,298.5772,387.4722,171.30714,323.90475,259.56482,340.44916,212.22272,309.30194,301.16415,256.42227,273.24194,247.07016,
1761241911332,SQUAT,36.711792,11.279877,8.994965,5.1956787,57.061096,28.0354,9.205414,NaN,NaN,314.26773,304.4504,267.73862,232.03491,263.2506,389.67056,215.00932,378.3907,265.99414,461.62766,452.6327,174.61078,262.74936,554.1248,197.3351,548.92914,303.65945,372.933,178.63492,315.87192,262.87695,326.5289,220.92851,298.4935,304.9274,242.50694,274.11578,233.30153,
